Book,DMC,Type,EMODBuild,IssueNumber,IssueYear,IssueMonth,IssueDay
AMM,DMC-1KC46-A-06-24-0000-02A0A-911A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-06-24-0000-02A0A-911A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-06-30-0000-10A0A-900A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-06-30-0000-10A0A-900A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-06-30-0000-11A0A-900A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-06-30-0000-11A0A-900A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-20-10-0900-07A0A-520A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-20-10-0900-07A0A-520A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-20-10-2700-02A0A-720A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-20-10-2700-02A0A-720A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-21-21-0000-02A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-21-21-0000-02A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-21-21-1000-02A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-21-21-1000-02A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-21-33-0000-01A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-21-33-0000-01A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-22-12-0000-01A0A-042A-A_001-00_SX-US.xml,description,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-22-12-0000-01A0A-042A-A_002-00_SX-US.XML,description,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-23-25-3100-02A0A-520A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-23-25-3100-02A0A-520A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-24-1600-06A0A-520A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-24-1600-06A0A-520A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-25-0300-03A0A-280A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-25-0300-03A0A-280A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-31-0000-05A0A-300A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
AMM,DMC-1KC46-A-25-31-0000-05A0A-300A-A_002-00_SX-US.XML,procedure,ATA2S1KD-20160301-0620,2,2016,4,22
AMM,DMC-1KC46-A-25-52-1000-03A0A-685A-A_001-00_SX-US.xml,procedure,ATA2S1KD-20151215-2310,1,2015,12,22
