"Book","DMC","TechName","IssueNumber","IssueYear","IssueMonth","IssueDay","DMC_ID","EMODBuild","ICNCollection","ICNCount"
"AMM","DMC-1KC46-A-00-00-0000-01A0A-018A-A","INTRODUCTION","009","2018","04","22","ECD690F9657572F028485ED05643C3D7","","ICN-81205-KA00000001-002-01,ICN-81205-KA00000002-002-01,ICN-81205-KA00000003-002-01,ICN-81205-KA00000004-002-01,ICN-81205-KA00000005-002-01,ICN-81205-KA00000007-002-01,ICN-81205-KA00000008-002-01,ICN-81205-KA00000009-002-01,ICN-81205-KA00000010-002-01,ICN-81205-KA00000011-002-01,ICN-81205-KA00000012-002-01,ICN-81205-KA00000013-002-01,ICN-81205-KA00000014-002-01,ICN-81205-KA00000015-002-01,ICN-81205-KA00000016-002-01,ICN-81205-KA00000017-002-01,ICN-81205-KA00000018-002-01,ICN-81205-KA00000019-002-01,ICN-81205-KA00000020-002-01,ICN-81205-KA00000021-002-01,ICN-81205-KA00000022-002-01,ICN-81205-KA00000023-002-01,ICN-81205-KA00000024-002-01,ICN-81205-KA00000025-002-01,ICN-81205-KA00000026-002-01","25"
"AMM","DMC-1KC46-A-05-00-0000-01A0A-010A-A","TIME LIMITS/MAINTENANCE CHECKS - MAINTENANCE PRACTICES","002","2016","12","22","JE09D6D7B46C00C568A41DE2187259F6","","","0"
"AMM","DMC-1KC46-A-05-00-0000-02A0A-912A-A","Airworthiness Limitation Precautions","002","2016","12","22","KFC1A71BB94F8D444119738BA97311C6","","","0"
"AMM","DMC-1KC46-A-05-00-0000-03A0A-912A-A","Enhanced Zonal Inspection Program (EZAP) Precautions","003","2017","04","22","DEB44B014834633374F58C12642DE40D","","","0"
"AMM","DMC-1KC46-A-05-05-0100-01A0A-010A-A","PREPARATION/SAFE FOR MAINTENANCE - MAINTENANCE PRACTICES","002","2016","12","22","I9BC6F439CC80289642CF166A69563D7","","","0"
"AMM","DMC-1KC46-A-05-05-0100-02A0A-280A-A","Preparation/Safe for Maintenance","008","2017","12","22","IBCCBEFE547DD200E45C7E552C10F9CB","","ICN-81205-KA05050001-001-01","1"
"AMM","DMC-1KC46-A-05-05-0200-01A0A-010A-A","PREFLIGHT - MAINTENANCE PRACTICES","005","2017","08","22","E8B6509F429FF703440403EC36E1C22F","","","0"
"AMM","DMC-1KC46-A-05-05-0200-03A0A-020A-A","Preparation","005","2017","08","22","H90EA5702BB62D31BF0CF4BF46AC4327","","ICN-81205-KA05050013-001-01","1"
"AMM","DMC-1KC46-A-05-05-0200-04A0A-020A-A","Return The Airplane to its Usual Condition ? PR","004","2017","08","22","AE116F483F84AB335C8C7DAFB2FB4173","","ICN-81205-KA05050013-001-01","1"
"AMM","DMC-1KC46-A-05-05-0200-05A0A-200A-A","Service - PR","006","2018","04","22","E2840790A44B456322ABE1F796C2660A","","","0"
"AMM","DMC-1KC46-A-05-05-0200-06A0A-280A-A","Flight Compartment ? PR Inspection","007","2018","04","22","C07BFBD48AD660497394C0973AE1856A","","ICN-81205-KA05050014-002-01,ICN-81205-KA05050015-002-01,ICN-81205-KA05050016-002-01,ICN-81205-KA05050052-002-01,ICN-81205-KA05050053-002-01,ICN-81205-KA05050061-002-01,ICN-81205-KA05050062-002-01,ICN-81205-KA05050063-002-01,ICN-81205-KA05050064-002-01,ICN-81205-KA05050065-002-01,ICN-81205-KA05050066-002-01","11"
"AMM","DMC-1KC46-A-05-05-0200-07A0A-280A-A","Aircrew Member Compartment (ACMC) ? PR Inspection","004","2017","08","22","G6FCC1952E395B51119D3920A22485CC","","ICN-81205-KA05050017-002-01,ICN-81205-KA05050018-002-01","2"
"AMM","DMC-1KC46-A-05-05-0200-08A0A-280A-A","Main Deck Cargo Compartment (MDCC) - PR Inspection","004","2017","08","22","DAE0DA4D85FA98116406B5529CDEAFAF","","ICN-81205-KA05050019-002-01","1"
"AMM","DMC-1KC46-A-05-05-0200-09A0A-280A-A","Airplane Exterior - PR Inspection","005","2017","10","22","FAFDE72C19190BF1533584B9CF818D72","","ICN-81205-KA05050015-002-01,ICN-81205-KA05050016-002-01,ICN-81205-KA05050020-002-01,ICN-81205-KA05050021-002-01,ICN-81205-KA05050022-002-01,ICN-81205-KA05050023-002-01,ICN-81205-KA06210003-001-01,ICN-81205-KA06210004-002-01,ICN-81205-KA06210005-002-01,ICN-81205-KA06210008-002-01,ICN-81205-KA06240001-002-01","11"
"AMM","DMC-1KC46-A-05-05-0200-10A0A-280A-A","General - PR","002","2018","04","22","AC1235509EA7369579E09B908B96B0A0","","","0"
"AMM","DMC-1KC46-A-05-05-0300-01A0A-010A-A","THRU-FLIGHT - MAINTENANCE PRACTICES","005","2017","08","22","D265A66AC33A68E6D824086FA0D03552","","","0"
"AMM","DMC-1KC46-A-05-05-0300-03A0A-020A-A","Preparation","003","2017","08","22","MF7C5539360B87B018636B0A02B80390","","ICN-81205-KA05050024-001-01","1"
"AMM","DMC-1KC46-A-05-05-0300-04A0A-020A-A","Return The Airplane To Its Usual Condition - TH","004","2017","08","22","PD57E5AB5EF82CAC94FA4823DE556F6A","","ICN-81205-KA05050024-001-01","1"
"AMM","DMC-1KC46-A-05-05-0300-05A0A-200A-A","Service - TH","004","2017","08","22","HCB1A37511B6C29E6F3E2A67815586F8","","","0"
"AMM","DMC-1KC46-A-05-05-0300-06A0A-280A-A","Flight Compartment - TH Inspection","006","2018","04","22","JC54E2569DDDB44B78D4B2FA1E09F467","","ICN-81205-KA05050025-002-01","1"
"AMM","DMC-1KC46-A-05-05-0300-07A0A-280A-A","Aircrew Member Compartment (ACMC) - TH Inspection","004","2017","08","22","M765054CD0D6000D486413E5F78566E2","","","0"
"AMM","DMC-1KC46-A-05-05-0300-08A0A-310A-A","Main Deck Cargo Compartment (MDCC) - TH Inspection","004","2017","08","22","M452FBE59171EFC1EE41B7E06411EF36","","","0"
"AMM","DMC-1KC46-A-05-05-0300-09A0A-310A-A","Airplane Exterior - TH Inspection","005","2017","10","22","G12F83FE9E13E3CEBCCB7590DB22593D","","ICN-81205-KA05050026-002-01,ICN-81205-KA05050027-002-01,ICN-81205-KA05050028-002-01,ICN-81205-KA05050029-002-01,ICN-81205-KA05050030-002-01,ICN-81205-KA06210003-001-01,ICN-81205-KA06210004-002-01,ICN-81205-KA06210005-002-01,ICN-81205-KA06210008-002-01,ICN-81205-KA06240001-002-01,ICN-81205-KA35110023-001-01","11"
"AMM","DMC-1KC46-A-05-05-0300-10A0A-280A-A","General - TH","002","2018","04","22","K4C60897187D986D76FBB77877713959","","","0"
"AMM","DMC-1KC46-A-05-05-0400-01A0A-010A-A","BASIC POSTFLIGHT - MAINTENANCE PRACTICES","005","2017","08","22","N979764655FDD36A7FDE069CE0E8EAA5","","","0"
"AMM","DMC-1KC46-A-05-05-0400-03A0A-020A-A","Basic Postflight Inspection","003","2017","08","22","D42043CC6D437E2DDC4E7F1A695A6C66","","ICN-81205-KA05050031-001-01","1"
"AMM","DMC-1KC46-A-05-05-0400-04A0A-020A-A","Return The Airplane to its Usual Condition - BPO","004","2017","08","22","O00C830705DFC141E0D8CB509D12EEAA","","ICN-81205-KA05050031-001-01","1"
"AMM","DMC-1KC46-A-05-05-0400-05A0A-200A-A","Service - BPO","004","2017","08","22","O64F1A6892E8F275DC9A5E1608C1B47E","","","0"
"AMM","DMC-1KC46-A-05-05-0400-06A0A-280A-A","Flight Compartment - BPO Inspection","006","2018","04","22","O05CDE68F9A13128D54094BA5A532B15","","ICN-81205-KA05050033-002-01","1"
"AMM","DMC-1KC46-A-05-05-0400-07A0A-280A-A","Aircrew Member Compartment (ACMC) - BPO Inspection","005","2017","10","22","PE44326C82034011D9A67ECB15F04C48","","ICN-81205-KA05050034-002-01,ICN-81205-KA05050064-002-01,ICN-81205-KA05050065-002-01,ICN-81205-KA05050066-002-01,ICN-81205-KA05050067-001-01,ICN-81205-KA05050068-002-01,ICN-81205-KA28530011-001-01,ICN-81205-KA33210007-002-01,ICN-81205-KA33210008-002-01,ICN-81205-KA33210009-002-01,ICN-81205-KA33210010-002-01","11"
"AMM","DMC-1KC46-A-05-05-0400-08A0A-280A-A","Main Deck Cargo Compartment (MDCC) - BPO Inspection","004","2017","08","22","G151A706CF2418918A32774DC8561FA4","","","0"
"AMM","DMC-1KC46-A-05-05-0400-09A0A-280A-A","Airplane Exterior - BPO Inspection","005","2017","10","22","LAD1AE80B701500CBB4DEC421D788013","","ICN-81205-KA05050015-002-01,ICN-81205-KA05050016-002-01,ICN-81205-KA05050021-002-01,ICN-81205-KA05050023-002-01,ICN-81205-KA05050035-002-01,ICN-81205-KA05050036-002-01,ICN-81205-KA05050037-002-01,ICN-81205-KA05050038-002-01,ICN-81205-KA05050039-002-01,ICN-81205-KA05050059-002-01,ICN-81205-KA06210003-001-01,ICN-81205-KA06210004-002-01,ICN-81205-KA06210005-002-01,ICN-81205-KA06210008-002-01,ICN-81205-KA06240001-002-01","15"
"AMM","DMC-1KC46-A-05-05-0400-10A0A-280A-A","General - BPO","003","2018","04","22","M74F11D44297C9692803D5C8008E01BD","","","0"
"AMM","DMC-1KC46-A-05-05-0500-01A0A-010A-A","QUICK TURN - MAINTENANCE PRACTICES","005","2017","08","22","GC8CFF3C03977C1A6801E5732BBDE444","","","0"
"AMM","DMC-1KC46-A-05-05-0500-03A0A-020A-A","Preparation","004","2017","08","22","O57B81A048A39DB011FA3A35AF016C04","","","0"
"AMM","DMC-1KC46-A-05-05-0500-04A0A-020A-A","Return the Airplane to its Usual Condition - QT","004","2017","08","22","FFBB0482FC59DE1E6B778D755D282766","","","0"
"AMM","DMC-1KC46-A-05-05-0500-05A0A-200A-A","Service - QT","004","2017","08","22","HC88A0BB68CD1747D5CA1C0BADED8AFD","","","0"
"AMM","DMC-1KC46-A-05-05-0500-06A0A-280A-A","Flight Compartment - QT Inspection","006","2018","04","22","C66BE176ACCA9EFB61AC26D58CE27A01","","ICN-81205-KA05050041-002-01","1"
